CO,POLICYNO,RECTYP,ACTYR,ACTMO,DEPEFFYR,DEPEFFMO,DEPEFFDAY,DEPLDGYR,DEPLDGMO,DEPLDGDAY,DEPAMOUNT,PREMIND
GALIC,2022777,24,2018,6,2018,6,27,2018,6,27,-572.78,S
GALIC,2022829,24,2018,6,2018,6,11,2018,6,11,-22500,S
GALIC,2023196,24,2018,6,2018,6,27,2018,6,27,-1500,S
GALIC,2023339,24,2018,6,2018,6,21,2018,6,21,250,P
GALIC,2023339,24,2018,6,2018,6,6,2018,6,6,250,P
GALIC,2023472,24,2018,6,2018,6,27,2018,6,27,-1510.46,S
GALIC,2023536,24,2018,6,2018,6,20,2018,6,20,-733.36,S
GALIC,2023755,24,2018,6,2018,6,5,2018,6,5,-22.58,S
GALIC,2023783,24,2018,6,2018,6,27,2018,6,27,-400,S
GALIC,2024015,24,2018,6,2018,6,12,2018,6,12,200,P
GALIC,2024066,24,2018,6,2018,6,22,2018,6,22,35,P
GALIC,2024066,24,2018,6,2018,6,4,2018,6,4,35,P
GALIC,2024102,24,2018,6,2018,6,15,2018,6,15,-2253.41,S
GALIC,2024253,24,2018,6,2018,6,5,2018,6,5,-169.28,S
GALIC,2024481,24,2018,6,2018,6,1,2018,6,1,-21.51,S
GALIC,2025153,24,2018,6,2018,6,25,2018,6,25,-354.05,S
GALIC,2025193,24,2018,6,2018,6,27,2018,6,27,4000,P
GALIC,2025193,24,2018,6,2018,6,12,2018,6,12,800,P
GALIC,2025389,24,2018,6,2018,6,15,2018,6,15,-224.49,S
GALIC,2025418,24,2018,6,2018,6,17,2018,6,18,-131.64,S
GALIC,2025476,24,2018,6,2018,6,1,2018,6,1,-96.25,S
GALIC,2025627,24,2018,6,2018,6,24,2018,6,25,-313,S
GALIC,2025692,24,2018,6,2018,6,27,2018,6,27,-192.18,S
GALIC,2025692,24,2018,6,2018,5,27,2018,6,1,-192.18,S
GALIC,2025692,24,2018,6,2018,4,27,2018,6,1,-192.18,S
GALIC,2025753,24,2018,6,2018,6,29,2018,6,29,100,P
GALIC,2025833,24,2018,6,2018,6,22,2018,6,22,1100,P
GALIC,2025833,24,2018,6,2018,6,8,2018,6,8,1100,P
GALIC,2026000,24,2018,6,2018,6,13,2018,6,13,212.5,P
GALIC,2026240,24,2018,6,2018,6,22,2018,6,22,100,P
GALIC,2026240,24,2018,6,2018,6,7,2018,6,7,100,P
GALIC,2026327,24,2018,6,2018,6,1,2018,6,1,-260.3,S
GALIC,2026351,24,2018,6,2018,6,27,2018,6,27,-47.5,S
GALIC,2026482,24,2018,6,2018,6,1,2018,6,1,-869.83,S
GALIC,2026520,24,2018,6,2018,6,27,2018,6,27,-787.36,S
GALIC,2026745,24,2018,6,2018,6,1,2018,6,1,-7.51,S
GALIC,2027148,24,2018,6,2018,6,26,2018,6,26,250,P
GALIC,2027148,24,2018,6,2018,6,12,2018,6,12,250,P
GALIC,2027176,24,2018,6,2018,6,7,2018,6,7,-197.93,S
GALIC,2027213,24,2018,6,2018,6,21,2018,6,21,50,P
GALIC,2027213,24,2018,6,2018,6,7,2018,6,7,50,P
GALIC,2027297,24,2018,6,2018,6,15,2018,6,15,-109.64,S
GALIC,2027340,24,2018,6,2018,6,11,2018,6,11,100,P
GALIC,2027346,24,2018,6,2018,6,11,2018,6,11,500,P
GALIC,2027494,24,2018,6,2018,6,20,2018,6,20,138.5,P
GALIC,2027494,24,2018,6,2018,6,6,2018,6,6,138.5,P
